Date,Close
1/4/2021,-100
1/5/2021,61
1/6/2021,-92
1/7/2021,23
1/8/2021,-4
1/11/2021,-51
1/12/2021,-93
1/13/2021,68
1/14/2021,-5
1/15/2021,-83
1/19/2021,2
1/20/2021,-98
1/21/2021,-65
1/22/2021,42
1/25/2021,-19
1/26/2021,-64
1/27/2021,16
1/28/2021,13
1/29/2021,-31
2/1/2021,28
2/2/2021,-96
2/3/2021,-65
2/4/2021,-82
2/5/2021,-87
2/8/2021,74
2/9/2021,36
2/10/2021,-63
2/11/2021,31
2/12/2021,32
2/16/2021,41
2/17/2021,78
2/18/2021,-14
2/19/2021,15
2/22/2021,50
2/23/2021,57
2/24/2021,-84
2/25/2021,23
2/26/2021,-80
3/1/2021,61
3/2/2021,-70
3/3/2021,-33
3/4/2021,49
3/5/2021,25
3/8/2021,90
3/9/2021,47
3/10/2021,-79
3/11/2021,82
3/12/2021,-72
3/15/2021,-18
3/16/2021,40
3/17/2021,38
3/18/2021,32
3/19/2021,-19
3/22/2021,38
3/23/2021,-36
3/24/2021,-90
3/25/2021,-67
3/26/2021,-18
3/29/2021,-32
3/30/2021,-46
3/31/2021,66
4/1/2021,82
4/5/2021,-79
4/6/2021,-7
4/7/2021,-14
4/8/2021,87
4/9/2021,2
4/12/2021,-21
4/13/2021,-92
4/14/2021,-7
4/15/2021,-70
4/16/2021,-50
4/19/2021,57
4/20/2021,-35
4/21/2021,6
4/22/2021,-63
4/23/2021,65
4/26/2021,-72
4/27/2021,-46
4/28/2021,-6
4/29/2021,-94
4/30/2021,99
5/3/2021,-50
5/4/2021,7
5/5/2021,-14
5/6/2021,-1
5/7/2021,-57
5/10/2021,-40
5/11/2021,-77
5/12/2021,-82
5/13/2021,-73
5/14/2021,-7
5/17/2021,91
5/18/2021,51
5/19/2021,36
5/20/2021,-85
5/21/2021,-38
5/24/2021,-29
5/25/2021,48
5/26/2021,-90
5/27/2021,75
5/28/2021,19
6/1/2021,24
6/2/2021,-13
6/3/2021,-31
6/4/2021,-36
6/7/2021,-100
6/8/2021,46
6/9/2021,81
6/10/2021,-82
6/11/2021,45
6/14/2021,20
6/15/2021,-15
6/16/2021,-35
6/17/2021,58
6/18/2021,5
6/21/2021,94
6/22/2021,-89
6/23/2021,-94
6/24/2021,67
6/25/2021,80
6/28/2021,11
6/29/2021,-95
6/30/2021,99
7/1/2021,84
7/2/2021,-15
7/6/2021,-59
7/7/2021,63
7/8/2021,59
7/9/2021,-64
7/12/2021,54
7/13/2021,-82
7/14/2021,-75
7/15/2021,-26
7/16/2021,-55
7/19/2021,41
7/20/2021,-53
7/21/2021,2
7/22/2021,-35
7/23/2021,-76
7/26/2021,-44
7/27/2021,80
7/28/2021,47
7/29/2021,-58
7/30/2021,68
8/2/2021,-21
8/3/2021,99
8/4/2021,21
8/5/2021,-45
8/6/2021,-48
8/9/2021,38
8/10/2021,-31
8/11/2021,-41
8/12/2021,-83
8/13/2021,-63
8/16/2021,36
8/17/2021,61
8/18/2021,39
8/19/2021,33
8/20/2021,87
8/23/2021,-89
8/24/2021,23
8/25/2021,31
8/26/2021,-45
8/27/2021,-29
8/30/2021,-87
8/31/2021,8
9/1/2021,46
9/2/2021,7
9/3/2021,-84
9/7/2021,-89
9/8/2021,41
9/9/2021,8
9/10/2021,70
9/13/2021,14
9/14/2021,-75
9/15/2021,33
9/16/2021,-99
9/17/2021,13
9/20/2021,70
9/21/2021,-73
9/22/2021,17
9/23/2021,17
9/24/2021,-74
